optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy,cost
adamw,fp32,huggingface,32,T4,,,,0.00
adan,fp16,lightseq,32,T4,,,,0
adan,fp16,huggingface,32,V100,,,,0
adan,fp16,huggingface,32,T4,,,,0
adan,fp32,lightseq,32,V100,,,,0
adan,fp32,lightseq,32,A10,,,,0
adan,fp32,lightseq,32,T4,,,,0
adan,fp32,huggingface,32,V100,,,,0
adan,fp32,huggingface,32,A10,,,,0
adan,fp32,huggingface,32,T4,,,,0
adamw,bf16,huggingface,64,TPUv3,487,NaN,0.9041,1.19
adamw,bf16,huggingface,128,TPUv3,418,NaN,0.9289,1.03
adamw,bf16,huggingface,256,TPUv3,392,NaN,0.9394,0.98
adamw,bf16,huggingface,512,TPUv3,360,NaN,0.9175,0.88
adamw,bf16,huggingface,1024,TPUv3,363,NaN,0.9353,0.88
adamw,fp32,huggingface,64,TPUv3,544,NaN,0.9341,1.32
adamw,fp32,huggingface,128,TPUv3,478,NaN,0.9325,1.17
adamw,fp32,huggingface,256,TPUv3,439,NaN,0.9463,1.09
