optimizer,mixed_precision,module,batch_size,device,time,energy,accuracy,cost
adan,fp32,lightseq,16,A10,2141.14,3.32547861e+08,0.9146,0.6542
adan,fp32,lightseq,16,T4,,,,0.0
adan,fp32,lightseq,32,V100,,,,0.0
adan,fp32,lightseq,32,A100,1320.5,4.01802719e+08,0.9202,1.4672
adan,fp32,lightseq,32,A10,,,,0.0
adan,fp32,lightseq,32,T4,,,,0.0
adan,fp32,huggingface,8,V100,2162.76,4.89054633e+08,0.9232,1.2015
adan,fp32,huggingface,8,A100,1563.13,4.58539486e+08,0.932,1.7368
adan,fp32,huggingface,8,A10,2554.21,3.95537491e+08,0.931,0.7805
adan,fp32,huggingface,8,T4,,,,0.0
adan,fp32,huggingface,16,V100,2073.87,4.78087174e+08,0.9278,1.1522
adan,fp32,huggingface,16,A100,1485.05,4.45225038e+08,0.9338,1.6501
adan,fp32,huggingface,16,A10,2374.41,3.68443936e+08,0.9332,0.7255
adan,fp32,huggingface,16,T4,,,,0.0
adan,fp32,huggingface,32,V100,,,,0.0
adan,fp32,huggingface,32,A100,1429.52,4.35017003e+08,0.9268,1.5884
adan,fp32,huggingface,32,A10,,,,0.0
adan,fp32,huggingface,32,T4,,,,0.0
adamw,fp32,huggingface,128,TPUv2,746,,0.938
adamw,fp32,huggingface,64,TPUv2,,,
adamw,bf16,huggingface,128,TPUv2,675,,0.93
adamw,bf16,huggingface,256,TPUv2,629,,0.935
adamw,bf16,huggingface,512,TPUv2,603,,0.933
adamw,fp32,huggingface,64,TPUv2,834.83,,0.926
