ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
20,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7521,0.01,0.45,0.51,54
21,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",75933,0.14,32.76,65.56,54
22,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7500,0.01,0.45,0.53,54
23,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",79775,0.14,31.18,62.24,54
24,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7628,0.01,0.46,0.53,54
25,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",76210,0.13,32.64,65.23,54
26,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7510,0.01,0.45,0.52,54
27,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",79873,0.14,31.14,62.36,54
28,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7423,0.01,0.45,0.53,54
29,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7491,0.01,0.45,0.53,54
30,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7443,0.01,0.45,0.53,54
31,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4," 2304,    1,    1"," 1024,    1,    1",266285,0.46,37.31,79.15,54
32,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    3,    1,    1"," 1024,    1,    1",11803,0.02,1.12,1.33,54
33,8,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4," 2304,    1,    1"," 1024,    1,    1",268717,0.46,36.97,78.49,54
34,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7440,0.01,0.45,0.64,54
35,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7502,0.01,0.45,0.52,54
36,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7493,0.01,0.45,0.52,54
37,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",77526,0.14,32.09,64.22,54
38,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7533,0.01,0.45,0.52,54
39,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",78130,0.14,31.84,63.72,54
40,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7699,0.01,0.46,0.50,54
41,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",80357,0.13,30.96,61.91,54
